customer_id,name,email,signup_date,city,state,total_spent,order_count
25,Hamsini Sani,zloke@example.org,2026-02-05,Mysuru,Karnataka,366262.82,2
26,Yug Krish,jnagar@example.net,2026-02-17,Ahmedabad,Gujarat,0.0,0
27,Krisha Behl,advaith35@example.org,2026-01-25,Jodhpur,Rajasthan,245097.77,2
28,Vedant Kothari,chanakya46@example.org,2026-02-01,Nizamabad,Telangana,0.0,0
29,Megha Prabhu,surajhalak@example.com,2026-01-22,Lucknow,Uttar Pradesh,0.0,0
30,Max Rout,radhakrishnandarpan@example.org,2026-02-05,Hyderabad,Telangana,586423.61,4
31,Eta Ganesh,abali@example.net,2026-01-23,Solan,Himachal Pradesh,0.0,0
32,Andrew Sabharwal,ikbalsaini@example.net,2026-01-28,Saiha,Mizoram,512755.23,2
33,Urvi Kala,tanveersodhi@example.com,2026-01-23,Kozhikode,Kerala,0.0,0
34,Zinal Arya,yatan60@example.org,2026-01-23,Panaji,Goa,317215.1,1
35,Wakeeta Mitra,zaitraperi@example.com,2026-01-26,Durgapur,West Bengal,0.0,0
36,Ria Taneja,jeremiah20@example.com,2026-02-17,Gangtok,Sikkim,125946.79,2
37,Timothy Gulati,ishaanpall@example.net,2026-02-10,Visakhapatnam,Andhra Pradesh,169811.65,1
38,Faris Bobal,vnanda@example.net,2026-02-16,Gyalshing,Sikkim,295313.94,1
39,Lavanya Gupta,onimodi@example.net,2026-02-09,Gaya,Bihar,516188.68,2
40,Eta Tiwari,prabhuqabil@example.net,2026-02-16,Haldwani,Uttarakhand,187154.76,1
41,Qasim Sahni,pallavi95@example.org,2026-02-17,Bishnupur,Manipur,0.0,0
42,Mohini Palla,ekantaguha@example.net,2026-01-22,Guntur,Andhra Pradesh,0.0,0
43,Zayyan Thaman,jason82@example.net,2026-02-17,Bhubaneswar,Odisha,0.0,0
44,Urmi Gera,vamakshisandal@example.org,2026-01-24,Jabalpur,Madhya Pradesh,0.0,0
45,Kamala Gola,mitali68@example.net,2026-01-24,Warangal,Telangana,0.0,0
46,Tristan Bhatti,srivastavaviraj@example.net,2026-02-08,Udaipur,Rajasthan,128242.46,1
47,Vansha Gupta,orinderkaran@example.com,2026-01-29,Agartala,Tripura,278706.36,2
48,Logan Kant,sameshsagar@example.net,2026-01-26,Mokokchung,Nagaland,132603.75,2
49,Aarush Ahuja,prashadsamar@example.com,2026-02-18,Vijayawada,Andhra Pradesh,0.0,0
50,Mitali Kurian,bakshibarkha@example.org,2026-02-06,Kochi,Kerala,0.0,0
51,Baljiwan Arya,radhakrishnandipta@example.net,2026-01-27,Ahmedabad,Gujarat,0.0,0
52,Forum Dugar,cbiswas@example.org,2026-02-14,Panipat,Haryana,244848.05,2
53,Anamika Menon,cjha@example.org,2026-01-26,Ludhiana,Punjab,0.0,0
54,Theodore Tiwari,wazir95@example.com,2026-02-05,Bilaspur,Chhattisgarh,310872.08,3
55,Yamini Prabhakar,tamannabadami@example.org,2026-02-10,Imphal,Manipur,0.0,0
56,Kai Bhatti,athaman@example.com,2026-02-19,Surat,Gujarat,0.0,0
57,Viraj Grover,parekhbhavani@example.org,2026-02-12,Guntur,Andhra Pradesh,0.0,0
58,Meghana Ganesan,itripathi@example.org,2026-02-18,Warangal,Telangana,0.0,0
59,Balveer Narula,birbaljiwan@example.com,2026-01-25,Margao,Goa,0.0,0
60,Nathan Mann,wakeeta68@example.net,2026-02-16,Bilaspur,Chhattisgarh,0.0,0
61,Meghana Sharaf,nandadayamai@example.com,2026-02-01,Gaya,Bihar,0.0,1
62,Vamakshi Lalla,ghosegarima@example.net,2026-02-12,Bhilai,Chhattisgarh,0.0,1
63,Yashoda Tank,eta78@example.org,2026-02-13,Jamshedpur,Jharkhand,152784.3,1
64,Anay Bal,anandbaljiwan@example.com,2026-02-13,Bhubaneswar,Odisha,0.0,1
65,Daksha Pai,chanchaldin@example.com,2026-01-26,Dibrugarh,Assam,0.0,0
66,Veer Arora,fshenoy@example.com,2026-02-01,Gyalshing,Sikkim,0.0,0
67,Atharv Dara,sharafwahab@example.net,2026-02-13,Lunglei,Mizoram,232507.38,1
68,Siddharth Sahota,oni13@example.com,2026-01-29,Vijayawada,Andhra Pradesh,564322.3,2
69,Priya Nagi,nicholas53@example.net,2026-02-11,Jodhpur,Rajasthan,293268.79,2
70,Ikbal Ganesan,sachdevchampak@example.com,2026-02-14,Vijayawada,Andhra Pradesh,278477.1,1
71,Ira Iyer,widisha02@example.com,2026-02-15,Warangal,Telangana,494292.91,2
72,Leela Amble,zchander@example.com,2026-02-17,Amritsar,Punjab,0.0,0
73,Hiral Sani,hvirk@example.com,2026-02-05,Thoubal,Manipur,222855.56,1
74,Rudra Gokhale,mallbimala@example.org,2026-02-19,Mokokchung,Nagaland,0.0,0
75,Tristan Nadig,krishsamuel@example.org,2026-02-11,Bengaluru,Karnataka,0.0,0
76,Isaiah Kulkarni,sahnizehaan@example.net,2026-02-03,Ludhiana,Punjab,0.0,0
77,Aadhya Sagar,vrege@example.net,2026-02-02,Imphal,Manipur,0.0,0
78,Alexander Devi,jagviwarrior@example.com,2026-02-17,Cuttack,Odisha,0.0,0
79,Dominic Joshi,pushti76@example.org,2026-01-30,Kanpur,Uttar Pradesh,0.0,0
80,Sai Bera,modiradha@example.net,2026-01-25,Kohima,Nagaland,0.0,0
81,Ayaan Pant,singhalwarda@example.com,2026-02-16,Dehradun,Uttarakhand,375465.39,2
82,Osha Bhatia,vlad@example.net,2026-02-16,Ranchi,Jharkhand,0.0,0
83,Bhanumati Soni,rsangha@example.com,2026-02-12,Lucknow,Uttar Pradesh,0.0,0
84,Saksham Deep,widisha08@example.org,2026-02-07,Jowai,Meghalaya,0.0,0
85,Fiyaz Wali,nathavi@example.org,2026-02-15,Haldwani,Uttarakhand,108760.78,2
86,Avi Sachdev,qgala@example.org,2026-02-16,Udaipur,Tripura,207603.54,1
87,Rachita Prakash,samakshnarayan@example.net,2026-01-31,Dibrugarh,Assam,0.0,0
88,Adya Narula,dakshanayak@example.net,2026-01-29,Dharamshala,Himachal Pradesh,0.0,0
89,Udarsh Babu,rehaan56@example.org,2026-02-02,Jalandhar,Punjab,0.0,0
90,Dalaja Khosla,mnadkarni@example.net,2026-02-01,Kochi,Kerala,308735.69,2
91,Kiaan Karan,zashil96@example.net,2026-01-25,Saiha,Mizoram,303323.54,2
92,Akshay Vala,dinriya@example.org,2026-01-24,Dharmanagar,Tripura,111506.15,1
93,Dalbir Kaur,raaginiandra@example.com,2026-01-24,Jowai,Meghalaya,0.0,0
94,Eshana Ahluwalia,lekhakothari@example.org,2026-02-10,Tura,Meghalaya,0.0,1
95,Rayaan Ramanathan,agarwalamol@example.org,2026-02-18,Jodhpur,Rajasthan,0.0,0
96,Mason Jain,dalajawalia@example.com,2026-02-03,Haridwar,Uttarakhand,0.0,0
97,Ira Chauhan,fparmar@example.net,2026-02-16,Mokokchung,Nagaland,0.0,0
98,Yochana Kapadia,diyasankar@example.com,2026-01-29,Visakhapatnam,Andhra Pradesh,0.0,0
99,Thomas Ramakrishnan,ishanivarma@example.com,2026-01-24,Itanagar,Arunachal Pradesh,0.0,0
100,Rajeshri Lata,badaldarika@example.org,2026-01-31,Bhubaneswar,Odisha,0.0,0
101,Geetika Deo,wmody@example.com,2026-01-26,Mokokchung,Nagaland,0.0,1
102,Qadim Zacharia,vedhikadeol@example.com,2026-02-12,Faridabad,Haryana,0.0,0
103,Chandran Gupta,gaurav91@example.com,2026-01-22,Dhanbad,Jharkhand,0.0,0
104,Jeevika Bhargava,baghyawatinazareth@example.net,2026-02-01,Aizawl,Mizoram,0.0,1
105,Jyoti Jain,agoda@example.net,2026-01-31,Lucknow,Uttar Pradesh,0.0,0
106,Jairaj Sengupta,divyasavant@example.net,2026-02-11,Durgapur,West Bengal,332908.02,1
107,Pratyush Radhakrishnan,odate@example.net,2026-02-18,Jodhpur,Rajasthan,0.0,0
108,Upasna Sane,lakshborde@example.com,2026-01-23,Aizawl,Mizoram,95476.36,1
109,Aachal Menon,faras40@example.net,2026-02-10,Naharlagun,Arunachal Pradesh,0.0,0
110,Nakul Khare,frederickmutti@example.com,2026-02-17,Bishnupur,Manipur,0.0,0
111,Watika Swaminathan,nigampranit@example.com,2026-02-14,Aizawl,Mizoram,0.0,2
112,Girindra Chahal,jsalvi@example.com,2026-01-25,Rourkela,Odisha,0.0,0
113,Praneel Zacharia,upathak@example.net,2026-01-28,Udaipur,Tripura,114343.73,1
114,Henry Patla,ekavir49@example.com,2026-01-29,Dimapur,Nagaland,566840.7,2
115,Oscar Sule,valayutika@example.net,2026-02-18,Madurai,Tamil Nadu,0.0,1
116,Bachittar Goda,tanayatwal@example.org,2026-01-29,Dimapur,Nagaland,340392.43,1
117,Balveer Ghosh,chandrajagat@example.net,2026-01-30,Howrah,West Bengal,108625.63,1
118,Oscar Bir,ishanisaran@example.org,2026-01-25,Hyderabad,Telangana,32185.45,1
119,Chakradev Kar,anika39@example.com,2026-02-15,Thoubal,Manipur,79670.1,1
120,Nakul Shukla,zilmil18@example.net,2026-01-30,Itanagar,Arunachal Pradesh,0.0,1
121,Ishaan Doctor,nikita84@example.net,2026-02-19,Bhubaneswar,Odisha,0.0,0
122,Falguni De,odutt@example.net,2026-01-30,Udaipur,Rajasthan,0.0,0
123,Qasim Parmar,jonathanjha@example.net,2026-01-23,Gaya,Bihar,0.0,0
124,Isha Sharma,charita25@example.org,2026-02-18,Kolkata,West Bengal,194401.42,1
125,Dakshesh Raju,bhardwajati@example.org,2026-02-18,Gyalshing,Sikkim,128801.13,2
126,Ekta Rout,harrisondate@example.net,2026-01-24,Gyalshing,Sikkim,0.0,0
127,Manan Chander,hamsininagy@example.com,2026-02-17,Ranchi,Jharkhand,0.0,0
128,Jack Sethi,kchowdhury@example.net,2026-02-14,Jabalpur,Madhya Pradesh,54464.63,1
129,Ati Kari,nthakkar@example.net,2026-02-10,Indore,Madhya Pradesh,0.0,0
130,Yutika Halder,edutta@example.com,2026-02-07,Udaipur,Tripura,0.0,0
131,Zehaan Lalla,yashicamander@example.org,2026-01-26,Haridwar,Uttarakhand,109921.47,1
132,Ekalinga Acharya,qlalla@example.com,2026-02-01,Gaya,Bihar,0.0,0
133,Upasna Barad,umutti@example.net,2026-02-12,Vadodara,Gujarat,0.0,0
134,Yug Chauhan,patlarachana@example.com,2026-02-02,Haridwar,Uttarakhand,0.0,1
135,Christopher Rana,khannaoeshi@example.net,2026-02-11,Patna,Bihar,0.0,0
136,Neelima Dasgupta,chasmumanand@example.org,2026-02-15,Jodhpur,Rajasthan,0.0,0
137,Janaki Soman,ronithmangat@example.net,2026-02-06,Silchar,Assam,0.0,0
138,Samesh Murty,sainiyadavi@example.com,2026-02-15,Ludhiana,Punjab,0.0,0
139,Yahvi Kashyap,kchaudhuri@example.org,2026-02-18,Amritsar,Punjab,0.0,0
140,Yash Dhillon,lkapadia@example.org,2026-01-31,Nagpur,Maharashtra,0.0,0
141,Rachit Dhawan,upadhriti14@example.net,2026-01-30,Kochi,Kerala,0.0,0
142,Gautami Peri,balveer76@example.net,2026-02-01,Mokokchung,Nagaland,53028.58,1
143,Viraj Merchant,ojha@example.com,2026-02-19,Thiruvananthapuram,Kerala,0.0,0
144,Bakhshi Sarin,vidhikothari@example.org,2026-01-29,Raipur,Chhattisgarh,0.0,0
145,Lucky Suresh,ekarajdhillon@example.net,2026-02-04,Kozhikode,Kerala,188317.92,1
146,Yashica Ratti,butalaishita@example.org,2026-01-26,Vijayawada,Andhra Pradesh,0.0,0
147,Brijesh Pandey,ibumb@example.org,2026-01-25,Thiruvananthapuram,Kerala,455968.83,2
148,Hemal Kunda,abhadeshmukh@example.com,2026-01-25,Saiha,Mizoram,0.0,0
149,Chatura Nadkarni,zmander@example.net,2026-02-16,Dharamshala,Himachal Pradesh,107300.1,1
150,Gautami Mahajan,daviddate@example.org,2026-02-14,Mysuru,Karnataka,0.0,0
151,Nitesh Dutt,adhingra@example.com,2026-02-19,Dharmanagar,Tripura,0.0,1
152,Warda Bora,kritika59@example.net,2026-02-06,Naharlagun,Arunachal Pradesh,0.0,0
153,Radha Prashad,umaster@example.org,2026-02-06,Haridwar,Uttarakhand,0.0,0
154,Chanchal Kakar,brindagour@example.com,2026-02-05,Thoubal,Manipur,0.0,0
155,Elijah Dugal,sarafishita@example.net,2026-02-01,Gangtok,Sikkim,0.0,1
156,Lipika Magar,jeet22@example.net,2026-02-16,Bishnupur,Manipur,0.0,0
157,Jeet Nath,farhan97@example.net,2026-02-10,Jowai,Meghalaya,909098.88,2
158,Arjun Bains,ypai@example.net,2026-02-03,Amritsar,Punjab,560413.56,1
159,Adweta Bal,vamakshisethi@example.net,2026-02-11,Thiruvananthapuram,Kerala,0.0,0
160,Lopa Sant,odika60@example.org,2026-02-12,Jabalpur,Madhya Pradesh,67203.64,1
161,Sara Ray,mangatbachittar@example.net,2026-02-10,Rourkela,Odisha,0.0,0
162,Jalsa Apte,nidhichar@example.org,2026-02-03,Kochi,Kerala,0.0,0
163,Falan Tailor,vinaya48@example.net,2026-02-07,Ahmedabad,Gujarat,146927.66,1
164,Deepa Borde,jsehgal@example.com,2026-02-16,Imphal,Manipur,0.0,0
165,Jack Zacharia,emittal@example.org,2026-02-05,Warangal,Telangana,138475.59,3
166,Mekhala Tailor,dinfalak@example.net,2026-02-05,Dimapur,Nagaland,203669.4,1
167,Harshil Swaminathan,champakprashad@example.org,2026-02-07,Howrah,West Bengal,0.0,0
168,Bachittar Walla,csubramaniam@example.net,2026-02-19,Udaipur,Rajasthan,0.0,0
169,Wakeeta Brar,osrivastava@example.com,2026-02-02,Pasighat,Arunachal Pradesh,0.0,0
170,Omya Sharaf,onveersankar@example.com,2026-01-31,Rourkela,Odisha,0.0,0
171,Nicholas Deep,hbora@example.net,2026-01-26,Panipat,Haryana,0.0,0
172,Tanveer Wagle,dayamaisahni@example.org,2026-02-05,Kohima,Nagaland,321681.72,1
173,Abeer Bedi,xchaudhari@example.com,2026-02-14,Gyalshing,Sikkim,456108.66,2
174,Upadhriti Virk,radhakrishnanridhi@example.com,2026-02-01,Bengaluru,Karnataka,0.0,0
175,Yachana Bahl,nitarasani@example.com,2026-01-26,Vadodara,Gujarat,277868.66,1
176,Girik Sule,ssaran@example.org,2026-02-05,Dehradun,Uttarakhand,0.0,0
177,Yashawini Mall,gavinsinghal@example.net,2026-02-13,Shillong,Meghalaya,0.0,0
178,Yagnesh Vig,ravelaachal@example.org,2026-01-29,Cuttack,Odisha,0.0,0
179,Ekiya Pal,falan32@example.net,2026-02-18,Kolkata,West Bengal,789966.89,2
180,Vasudha Dave,chamelisood@example.org,2026-02-16,Udaipur,Rajasthan,523637.19,2
181,Rudra Narang,bordedavid@example.com,2026-02-14,Rourkela,Odisha,184679.11,1
182,Zayan Bahri,jeetsingh@example.com,2026-02-14,Mumbai,Maharashtra,0.0,0
183,Gopal Mangal,anvi19@example.net,2026-02-13,Saiha,Mizoram,0.0,0
184,Harsh Bhalla,lallbarkha@example.com,2026-02-01,Udaipur,Tripura,0.0,0
185,Fariq Sane,aahanamallick@example.com,2026-02-03,Amritsar,Punjab,531326.81,3
186,Ira Vig,sachi55@example.org,2026-02-06,Panipat,Haryana,0.0,0
187,Vanya Rai,onveer67@example.net,2026-02-18,Dehradun,Uttarakhand,0.0,1
188,Jyoti Samra,aradhanachakrabarti@example.com,2026-02-14,Itanagar,Arunachal Pradesh,0.0,0
189,Yachana Gokhale,oliver89@example.org,2026-02-03,Dharmanagar,Tripura,0.0,0
190,Shivansh Kaur,aahanavyas@example.org,2026-02-11,Bhagalpur,Bihar,281080.4,1
191,Raksha Tara,ayaanchaudhuri@example.net,2026-01-27,Bhopal,Madhya Pradesh,0.0,0
192,Ayushman Kala,vaidyasiya@example.com,2026-01-23,Lucknow,Uttar Pradesh,338160.56,3
193,Vedant Merchant,chavvi55@example.com,2026-01-25,Panipat,Haryana,0.0,0
194,Gunbir Pai,qadimmalhotra@example.org,2026-01-24,Guntur,Andhra Pradesh,49328.94,1
195,Lila Edwin,ishanvinadig@example.com,2026-01-29,Nagpur,Maharashtra,0.0,0
196,Hema Kannan,ikshitadash@example.net,2026-01-25,Mumbai,Maharashtra,0.0,0
197,Jeet Jani,anmolsehgal@example.com,2026-02-13,Kochi,Kerala,176054.75,2
198,Chaitanya Chad,chakrabartijairaj@example.org,2026-01-30,Kanpur,Uttar Pradesh,0.0,0
199,Maanav Oza,faraj80@example.com,2026-02-09,Raipur,Chhattisgarh,0.0,0
200,Divya Palan,harrison20@example.org,2026-01-22,Nagpur,Maharashtra,0.0,0
201,Vihaan Loke,hhans@example.net,2026-01-30,Bhopal,Madhya Pradesh,0.0,0
202,Patrick Shetty,chavvisethi@example.org,2026-02-09,Ludhiana,Punjab,0.0,0
203,Bakhshi Manne,sanghvicharles@example.org,2026-02-11,Panipat,Haryana,0.0,0
204,Thomas Chatterjee,charan63@example.org,2026-01-28,Lucknow,Uttar Pradesh,95864.49,1
205,Vyanjana Bahl,choudhuryronith@example.org,2026-02-08,Kanpur,Uttar Pradesh,116921.12,1
206,Gopal Kunda,vnaidu@example.com,2026-02-03,Tura,Meghalaya,240667.53,2
207,Owen Wali,samuelkorpal@example.net,2026-01-23,Jaipur,Rajasthan,0.0,0
208,Azaan Maharaj,vwalla@example.com,2026-02-03,Namchi,Sikkim,16782.28,1
209,Amol Ray,chardalbir@example.com,2026-02-16,Thoubal,Manipur,119557.92,1
210,Pavani Mandal,bkota@example.com,2026-01-23,Hyderabad,Telangana,0.0,0
211,Vaishnavi Loyal,ishani44@example.org,2026-02-07,Bengaluru,Karnataka,384642.35,1
212,Gautami Srivastava,kabir53@example.net,2026-02-10,Surat,Gujarat,149051.65,1
213,Yashvi Shenoy,trastogi@example.org,2026-02-14,Bengaluru,Karnataka,0.0,0
214,Imaran Brar,rushilsoni@example.net,2026-01-27,Bhilai,Chhattisgarh,0.0,0
215,Jason Loyal,sharmaishanvi@example.net,2026-02-07,Warangal,Telangana,0.0,0
216,Yamini Prabhakar,aahanaupadhyay@example.com,2026-02-17,Saiha,Mizoram,357645.06,3
217,Gautami Sarkar,vviswanathan@example.net,2026-01-25,Faridabad,Haryana,130773.3,1
218,Shaurya Kaur,lhayer@example.com,2026-02-10,Shimla,Himachal Pradesh,175221.85,1
219,Harish Natt,sastrynandini@example.org,2026-01-29,Warangal,Telangana,0.0,0
220,Indira Chandran,kapadiahemang@example.org,2026-01-27,Bengaluru,Karnataka,0.0,0
221,Ikbal Vasa,dominic94@example.org,2026-02-13,Pune,Maharashtra,0.0,0
222,Gopal Nadkarni,lukeghose@example.net,2026-01-29,Coimbatore,Tamil Nadu,306206.05,3
223,Krishna Kari,bandilajita@example.net,2026-02-07,Gurugram,Haryana,25576.08,1
224,Ekani Bawa,ujani@example.org,2026-02-03,Madurai,Tamil Nadu,388202.99,1
225,Advik Goel,patlaazaan@example.com,2026-02-02,Kochi,Kerala,0.0,0
226,Gaurang Dyal,venkateshbhavna@example.com,2026-01-27,Panaji,Goa,609002.71,3
227,Adya Bajaj,sudiksha20@example.com,2026-02-06,Vasco Da Gama,Goa,0.0,0
228,Ikbal Chahal,hkara@example.net,2026-01-22,Bishnupur,Manipur,119086.08,1
229,Ronith Bakshi,chaturasachdev@example.com,2026-02-12,Solan,Himachal Pradesh,0.0,0
230,Darsh Chowdhury,guneetsandal@example.org,2026-02-16,Jaipur,Rajasthan,221651.52,1
231,Faris Narayanan,leelachahal@example.com,2026-02-13,Namchi,Sikkim,0.0,0
232,Aarav Karpe,brarkashvi@example.net,2026-02-01,Cuttack,Odisha,0.0,0
233,Chameli Sandhu,ynagar@example.org,2026-01-26,Jodhpur,Rajasthan,156123.74,1
234,Oeshi Gole,pratyush36@example.org,2026-02-13,Chennai,Tamil Nadu,0.0,0
235,Dakshesh Narang,irajagopalan@example.org,2026-02-02,Pasighat,Arunachal Pradesh,2554.2,1
236,Elijah Bhatnagar,mastervihaan@example.org,2026-02-12,Bishnupur,Manipur,49865.64,1
237,Jalsa Singh,chakrika45@example.com,2026-02-08,Ludhiana,Punjab,163376.49,2
238,Leela Lall,daliazansi@example.org,2026-02-14,Kolkata,West Bengal,0.0,0
239,Yashoda Karnik,kannanradha@example.com,2026-01-22,Agartala,Tripura,0.0,0
240,Azaan Brar,lagate@example.com,2026-01-26,Bilaspur,Chhattisgarh,0.0,0
241,Saanvi Talwar,girish36@example.com,2026-02-15,Kanpur,Uttar Pradesh,0.0,0
242,Zayan Dyal,tsidhu@example.com,2026-02-16,Noida,Uttar Pradesh,0.0,0
243,Udant Dewan,janujabail@example.org,2026-01-30,Cuttack,Odisha,0.0,1
244,Indrajit Walla,eta00@example.com,2026-01-28,Namchi,Sikkim,91878.8,1
245,Bhavya Apte,dakshnatt@example.org,2026-02-04,Panipat,Haryana,28707.7,2
246,Bhavini Palan,lbassi@example.com,2026-01-31,Panipat,Haryana,371228.79,1
247,Nikita Pall,varmavedika@example.com,2026-02-05,Dhanbad,Jharkhand,164800.28,2
248,Dhruv Banerjee,pallkrishna@example.com,2026-01-31,Solan,Himachal Pradesh,49593.1,1
249,Ucchal Bail,sanyavyas@example.net,2026-02-06,Bhubaneswar,Odisha,98657.88,1
250,Eiravati Rana,pavani57@example.com,2026-01-23,Ahmedabad,Gujarat,402063.93,1
251,Ishwar Memon,mannsaanvi@example.org,2026-01-25,Dhanbad,Jharkhand,122523.03,1
252,Zarna Agate,aishanihora@example.org,2026-02-03,Mangaluru,Karnataka,519652.15,2
253,Prisha Varughese,mason29@example.com,2026-01-25,Indore,Madhya Pradesh,0.0,0
254,Idika Nagar,nikitaatwal@example.com,2026-02-07,Gaya,Bihar,112059.42,1
255,Hredhaan Raj,bhattichanakya@example.com,2026-02-10,Naharlagun,Arunachal Pradesh,588048.39,1
256,Warjas Pandey,urvi88@example.org,2026-01-24,Gurugram,Haryana,0.0,0
257,Isaac Parmer,vivaan55@example.net,2026-02-19,Surat,Gujarat,0.0,0
258,Ucchal Chanda,ekaja16@example.org,2026-02-09,Bhilai,Chhattisgarh,0.0,0
259,Yashodhara Bhatt,zehaan23@example.com,2026-01-28,Howrah,West Bengal,270865.27,2
260,Chameli Thakkar,pbadal@example.net,2026-02-16,Solan,Himachal Pradesh,0.0,0
261,Neelima Gulati,wyattkanda@example.com,2026-01-30,Coimbatore,Tamil Nadu,81317.04,1
262,Peter Divan,tchhabra@example.net,2026-01-25,Kolkata,West Bengal,287008.59,1
263,Tara Suri,bobalonveer@example.org,2026-02-04,Kanpur,Uttar Pradesh,202895.1,1
264,Madhavi Chanda,sidhumegha@example.net,2026-01-22,Bilaspur,Chhattisgarh,185764.31,1
265,Tamanna Kala,ikshitabanik@example.org,2026-01-31,Lunglei,Mizoram,0.0,0
266,Edhitha Sunder,tanejadaksha@example.net,2026-01-29,Kochi,Kerala,0.0,0
267,Varsha Khare,oommenom@example.org,2026-02-08,Solan,Himachal Pradesh,79646.83,1
268,Aarnav Brahmbhatt,oommenazaan@example.net,2026-02-04,Aizawl,Mizoram,0.0,0
269,Gagan Saini,fiyazsandhu@example.net,2026-01-31,Margao,Goa,175575.95,1
270,Niharika Gokhale,nsrivastava@example.com,2026-02-08,Nagpur,Maharashtra,0.0,0
271,Neha Savant,qarinnatt@example.net,2026-02-12,Jowai,Meghalaya,186480.45,1
272,Janya Hayre,vanyabehl@example.net,2026-02-04,Gangtok,Sikkim,0.0,0
273,Chaaya Cheema,daminimahal@example.org,2026-02-13,Mumbai,Maharashtra,0.0,0
274,Azaan Sastry,urmivarty@example.com,2026-02-11,Hyderabad,Telangana,44769.31,1
275,Oliver Dar,pranavagrawal@example.net,2026-01-28,Howrah,West Bengal,290457.43,2
276,Urmi Palla,hrajagopalan@example.net,2026-01-30,Vadodara,Gujarat,305630.67,1
277,Warhi Pingle,odasgupta@example.com,2026-01-26,Tura,Meghalaya,0.0,0
278,Aarav Rana,shravyajoshi@example.com,2026-02-13,Ahmedabad,Gujarat,0.0,0
279,Tanish Sethi,abhiramandra@example.org,2026-01-25,Margao,Goa,0.0,0
280,Ridhi Batta,jagvi12@example.org,2026-01-26,Dibrugarh,Assam,178121.2,2
281,Yutika Das,priya64@example.org,2026-02-03,Bhilai,Chhattisgarh,25641.62,1
282,Charvi Maharaj,rushilchandran@example.org,2026-02-04,Shillong,Meghalaya,260147.37,1
283,Mohini Murthy,dewanaarna@example.net,2026-01-30,Kochi,Kerala,0.0,1
284,Yochana Wable,dasshivani@example.org,2026-02-12,Visakhapatnam,Andhra Pradesh,0.0,0
285,Yasti Dube,basakbhavna@example.org,2026-02-05,Namchi,Sikkim,0.0,0
286,Ira Gaba,dalbir83@example.com,2026-01-30,Saiha,Mizoram,0.0,0
287,Aishani Sidhu,uchawla@example.com,2026-02-16,Coimbatore,Tamil Nadu,0.0,0
288,Wazir Gara,chanakya45@example.net,2026-01-30,Madurai,Tamil Nadu,312497.89,1
289,Aadi Halder,ragate@example.net,2026-01-27,Kochi,Kerala,538299.09,1
290,Fiyaz Memon,emalhotra@example.com,2026-02-06,Gangtok,Sikkim,288824.54,1
291,Xavier Basak,mitrarachana@example.org,2026-02-18,Ahmedabad,Gujarat,0.0,0
292,Pooja Vasa,ddewan@example.net,2026-02-11,Guntur,Andhra Pradesh,0.0,0
293,Eiravati Shan,ichokshi@example.net,2026-02-08,Silchar,Assam,475906.87,2
294,Odika Bains,luke86@example.com,2026-02-06,Kanpur,Uttar Pradesh,0.0,0
